a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-3
adwaita-icon-theme 3.22.0-1
afpfs-ng 0.8.1-10
alsa-firmware 1.0.29-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-tools 1.1.0-2
alsa-utils 1.1.3-1
apr 1.5.2-1
apr-util 1.5.4-2
arandr 0.1.9-2
arch-wiki-cli 0.2-1
archlinux-keyring 20161201-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
atool 0.39.0-5
attr 2.4.47-2
audiofile 0.3.6-3
augeas 1.5.0-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
bash 4.4.005-2
bash-completion 2.4-1
bc 1.06.95-3
binutils 2.27-1
bison 3.0.4-2
bluez-libs 5.43-2
boost 1.62.0-4
boost-libs 1.62.0-4
breeze-gtk 5.8.4-1
bridge-utils 1.6-1
brltty 5.4-3
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cairo 1.14.8-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.25-2
cdparanoia 10.2-5
cdrdao 1.2.3-9
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 10.2.3-1
cifs-utils 6.5-1
cmake 3.7.1-1
cmatrix 1.2a-11
cmus 2.7.1-8
codeblocks 16.01-7
colord 1.3.4-1
compositeproto 0.4.2-3
compton-git 0.1_beta2.86.gb7f43ee-1
confuse 3.0-1
coreutils 8.26-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
cups 2.2.1-1
cups-filters 1.13.1-1
curl 7.51.0-3
cython 0.25.2-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
devede 4.8.6-1
device-mapper 2.02.168-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
dmenu2 0.2-1
dmxproto 2.3.1-3
dnsmasq 2.76-3
dosfstools 4.0-3
dotconf 1.3-4
dunst 1.1.0-1
dvd+rw-tools 7.1-7
dvdauthor 0.7.1-8
dvgrab 3.5-6
e2fsprogs 1.43.3-1
easy-rsa 3.0.1-1
ebtables 2.0.10_4-6
elinks 0.13-17
enca 1.19-1
enchant 1.6.0-10
engrampa-thunar 1.16.0-1
espeak 1.48.04-2
exo 0.10.7-2
expat 2.2.0-2
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
fcgi 2.4.0-12
feh 2.18-1
fetchmirrors 0.3-2
ffmpeg 1:3.2.2-1
ffmpeg2.8 2.8.9-1
ffmpegthumbnailer 2.1.1-1
fftw 3.3.5-1
file 5.29-1
filesystem 2016.12-2
findutils 4.6.0-2
firefox 50.1.0-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 24.0.0.186-1
flex 2.6.1-1
fontconfig 2.12.1-3
fontconfig-ttf-ms-fonts 1.0-2
fontsproto 2.1.3-1
foomatic-db-engine 4:4.0.12-2
freeglut 3.0.0-1
freetype2 2.7-2
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 6.2.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gd 2.2.3-3
gdbm 1.12-2
gdk-pixbuf2 2.36.1+31+gecea71eb6-1
geoclue2 2.4.4-2
geoip 1.6.9-1
geoip-database 20161206-1
gettext 0.19.8.1-2
ghostscript 9.20-4
giblib 1.2.4-6
giflib 5.1.4-1
git 2.11.0-2
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glibmm 2.50.0-1
glu 9.0.0-4
gmp 6.1.1-1
gnome-keyring 1:3.20.0+16+gbf8aa97-1
gnome-online-accounts 3.22.3-1
gnome-themes-standard 3.22.2-1
gnupg 2.1.17-1
gnutls 3.4.17-1
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
google-chrome 55.0.2883.87-1
google-talkplugin 5.41.3.0-0
gperf 3.0.4-7
gperftools 2.5-1
gpgme 1.7.1-2
gpick 0.2.5-6
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 2.27-1
groff 1.22.3-7
grub 1:2.02.beta3-4
gsasl 1.8.0-7
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
